0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
11 43.27398975 61.85434052 63.63725888 60.9970697 72.00033085 43.2015042 65.25690299 65.83291038 71.4330316 63.63956366 0 51.38607517 74.81197749 67.21410469 76.24917619 54.31785221 46.09864323 75.952046 83.33379899 73.65193719 55.18304143 67.67547653 76.54654244 71.0057126 69.46243654
12 38.13029875 54.37608532 52.02876727 49.04819449 60.01464711 39.22922085 53.19878028 52.81152675 59.08355229 51.51693633 51.38607517 0 58.67886821 54.46853761 64.03203484 47.85914236 36.14133955 62.63563136 70.98554302 61.68848546 48.19725536 58.7802093 65.1675631 59.39287696 57.78294495
13 55.60939727 68.1344552 50.59374818 45.64947446 56.04416083 58.53025404 72.50071987 47.40969043 53.53486097 46.89757863 74.81197749 58.67886821 0 45.98591954 59.00109089 67.53599906 55.14100136 59.99590264 67.2734031 59.07221051 65.07636073 73.33130209 67.7547399 59.45460963 56.96731782
14 46.28407529 57.81214321 35.72436102 28.27058248 35.43741934 49.75495061 64.73599942 36.66715332 34.06018171 25.0273227 67.21410469 54.46853761 45.98591954 0 35.48307521 60.03427304 48.14915645 54.02702264 51.70467412 40.7145637 56.74038829 64.71940903 55.97131299 44.97010071 40.84048536
15 55.04191248 66.4688612 44.07436588 35.89187663 39.91679516 58.61516736 73.89183777 46.51601447 43.44690751 29.16046882 76.24917619 64.03203484 59.00109089 35.48307521 0 69.0636202 57.2999662 64.30207494 61.01584691 46.13247126 65.57705941 73.52480924 64.21920016 52.37911991 47.28711143
16 46.19736578 63.11196247 59.41407686 55.76825803 65.72730437 47.49717779 66.70614519 61.05954487 65.54163964 57.03331469 54.31785221 47.85914236 67.53599906 60.03427304 69.0636202 0 26.36054488 64.24508208 73.28204415 64.19165903 35.52803345 48.9760499 63.72520659 59.70354382 58.91606434
17 36.81004512 53.21232848 48.21386604 44.36125271 54.14645474 38.23486833 56.5424371 49.64073843 53.96945711 45.37931115 46.09864323 36.14133955 55.14100136 48.14915645 57.2999662 26.36054488 0 50.41524185 60.87258336 52.14293568 27.83746692 36.96552879 51.00359898 47.47313108 46.8385156
18 59.92369185 73.7212427 59.90672816 54.41244586 62.67894567 62.43546283 78.55075981 60.44611274 62.76244021 53.33237817 75.952046 62.63563136 59.99590264 54.02702264 64.30207494 64.24508208 50.41524185 0 60.71169923 56.81550252 60.93872068 66.99044942 55.06465324 51.48505224 51.90594581
19 65.21429633 78.06928192 60.74946384 54.20282544 60.93953238 68.1619425 84.03250154 61.98689672 62.07772401 51.20571654 83.33379899 70.98554302 67.2734031 51.70467412 61.01584691 73.28204415 60.87258336 60.71169923 0 48.46587899 69.04902087 75.7346839 61.08594884 48.10777451 46.44172455
20 54.7436288 67.2404596 48.61035448 41.51715265 46.99437522 57.86723448 73.71681524 50.4802678 49.57112811 37.16136811 73.65193719 61.68848546 59.07221051 40.7145637 46.13247126 64.19165903 52.14293568 56.81550252 48.46587899 0 59.79175568 66.79006321 53.00090411 38.1177467 30.92867445
21 44.93704731 61.61351151 56.80552207 52.89141612 62.49929135 46.46755099 65.70617004 58.49938676 62.53301186 53.72181485 55.18304143 48.19725536 65.07636073 56.74038829 65.57705941 35.52803345 27.83746692 60.93872068 69.04902087 59.79175568 0 41.78986208 58.45241332 54.50342207 53.92771733
22 56.69095916 72.67757847 65.90431717 61.6108232 70.80639424 58.39040577 76.74717705 67.43683306 71.00814641 61.90118778 67.67547653 58.7802093 73.33130209 64.71940903 73.52480924 48.9760499 36.96552879 66.99044942 75.7346839 66.79006321 41.78986208 0 62.64626877 60.62596085 60.50824023
23 60.87596069 74.83320459 61.26457016 55.50382817 62.94143542 63.38588717 80.10307837 62.63767791 64.06194036 53.55502315 76.54654244 65.1675631 67.7547399 55.97131299 64.21920016 63.72520659 51.00359898 55.06465324 61.08594884 53.00090411 58.45241332 62.64626877 0 41.81450715 44.60283141
24 53.8921175 67.21588021 51.44344297 45.11350836 51.71913376 56.67171669 73.01545413 53.00607202 53.45294223 42.15838316 71.0057126 59.39287696 59.45460963 44.97010071 52.37911991 59.70354382 47.47313108 51.48505224 48.10777451 38.1177467 54.50342207 60.62596085 41.81450715 0 27.88843985
25 51.58469079 64.56082714 47.57886862 40.89833784 46.89235771 54.51378393 70.67845407 49.34130271 49.18775092 37.24989016 69.46243654 57.78294495 56.96731782 40.84048536 47.28711143 58.91606434 46.8385156 51.90594581 46.44172455 30.92867445 53.92771733 60.50824023 44.60283141 27.88843985 0
